timestamp,profile,account,pair,score_final,score_s,score_r,score_a,score_x,score_m,action_taken
2026-09-17T15:27:15.312971+00:00,profile4,a/c4,EURAUD=X,25.8,17.5,4.3,26.7,50.0,42.3,BELOW_SCORE_THRESHOLD
2026-09-17T15:27:15.594827+00:00,profile4,a/c4,NZDJPY=X,22.5,6.9,0.0,35.2,50.0,50.9,BELOW_SCORE_THRESHOLD
2026-09-17T15:27:15.892197+00:00,profile4,a/c4,NZDJPY=X,22.5,6.9,0.0,35.2,50.0,50.9,BELOW_SCORE_THRESHOLD
2026-09-17T15:27:14.422004+00:00,profile4,a/c4,GBPUSD=X,57.8,81.3,0.0,25.0,66.2,36.2,NO_SLOT_MAX_OPEN
2026-09-17T15:32:06.774311+00:00,profile4,a/c4,EURAUD=X,25.4,17.5,0.1,29.0,50.0,41.7,BELOW_SCORE_THRESHOLD
2026-09-17T15:32:07.060791+00:00,profile4,a/c4,EURAUD=X,25.4,17.5,0.1,29.0,50.0,41.7,BELOW_SCORE_THRESHOLD
2026-09-17T15:32:07.368842+00:00,profile4,a/c4,NZDJPY=X,22.5,6.9,0.0,36.1,50.0,50.7,BELOW_SCORE_THRESHOLD
2026-09-17T15:32:07.666312+00:00,profile4,a/c4,NZDJPY=X,22.5,6.9,0.0,36.1,50.0,50.7,BELOW_SCORE_THRESHOLD
2026-09-17T15:32:06.200069+00:00,profile4,a/c4,GBPUSD=X,58.1,81.3,0.0,26.8,69.7,34.7,NO_SLOT_MAX_OPEN
2026-09-17T15:34:27.760248+00:00,profile4,a/c4,EURAUD=X,24.9,17.5,0.0,28.8,50.0,39.3,BELOW_SCORE_THRESHOLD
2026-09-17T15:34:28.049765+00:00,profile4,a/c4,EURAUD=X,24.9,17.5,0.0,28.8,50.0,39.3,BELOW_SCORE_THRESHOLD
2026-09-17T15:34:28.335955+00:00,profile4,a/c4,NZDJPY=X,22.6,6.9,0.0,36.1,50.0,51.4,BELOW_SCORE_THRESHOLD
2026-09-17T15:34:28.625269+00:00,profile4,a/c4,NZDJPY=X,22.6,6.9,0.0,36.1,50.0,51.4,BELOW_SCORE_THRESHOLD
2026-09-17T15:34:27.121211+00:00,profile4,a/c4,GBPUSD=X,57.9,81.3,0.0,27.3,67.9,34.6,NO_SLOT_MAX_OPEN
2026-09-17T15:37:12.915790+00:00,profile4,a/c4,EURAUD=X,25.3,17.5,0.0,28.1,50.0,41.6,BELOW_SCORE_THRESHOLD
2026-09-17T15:37:13.212090+00:00,profile4,a/c4,EURAUD=X,25.3,17.5,0.0,28.1,50.0,41.6,BELOW_SCORE_THRESHOLD
2026-09-17T15:37:13.493510+00:00,profile4,a/c4,NZDJPY=X,22.8,6.9,0.0,36.1,50.0,52.3,BELOW_SCORE_THRESHOLD
2026-09-17T15:37:13.785782+00:00,profile4,a/c4,NZDJPY=X,22.8,6.9,0.0,36.1,50.0,52.3,BELOW_SCORE_THRESHOLD
2026-09-17T15:37:12.305437+00:00,profile4,a/c4,GBPUSD=X,57.3,81.3,0.0,27.3,63.7,33.9,NO_SLOT_MAX_OPEN
2026-09-17T15:39:10.593988+00:00,profile4,a/c4,EURAUD=X,25.3,17.5,0.0,28.1,50.0,41.4,BELOW_SCORE_THRESHOLD
2026-09-17T15:39:10.885377+00:00,profile4,a/c4,EURAUD=X,25.3,17.5,0.0,28.1,50.0,41.4,BELOW_SCORE_THRESHOLD
2026-09-17T15:39:11.184535+00:00,profile4,a/c4,NZDJPY=X,22.6,6.9,0.0,36.1,50.0,51.4,BELOW_SCORE_THRESHOLD
2026-09-17T15:39:11.483504+00:00,profile4,a/c4,NZDJPY=X,22.6,6.9,0.0,36.1,50.0,51.4,BELOW_SCORE_THRESHOLD
2026-09-17T15:39:09.978204+00:00,profile4,a/c4,GBPUSD=X,57.6,81.3,0.0,27.4,64.9,34.9,NO_SLOT_MAX_OPEN
2026-09-17T15:57:25.717296+00:00,profile4,a/c4,GBPUSD=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T15:57:26.011298+00:00,profile4,a/c4,EURAUD=X,25.4,17.5,0.0,30.3,50.0,41.3,BELOW_SCORE_THRESHOLD
2026-09-17T15:57:26.326745+00:00,profile4,a/c4,EURAUD=X,25.4,17.5,0.0,30.3,50.0,41.3,BELOW_SCORE_THRESHOLD
2026-09-17T15:57:26.646680+00:00,profile4,a/c4,NZDJPY=X,22.7,6.9,1.7,37.3,50.0,50.7,BELOW_SCORE_THRESHOLD
2026-09-17T15:57:26.970989+00:00,profile4,a/c4,NZDJPY=X,22.7,6.9,1.7,37.3,50.0,50.7,BELOW_SCORE_THRESHOLD
